name,price,benefit
Sahre-871,9,4.74
Sahre-870,8,26.47
Sahre-869,1,5.24
Sahre-868,5,7.35
Sahre-867,6,28.52
Sahre-866,4,10.72
Sahre-865,7,19.69
Sahre-864,7,39.88
Sahre-863,7,15.21
Sahre-862,0,13.78
Sahre-861,0,18.04
Sahre-860,0,17.58
Sahre-859,1,27.62
Sahre-858,2,24.2
Sahre-857,9,37.12
Sahre-856,4,33.88
Sahre-855,9,5.93
Sahre-854,3,24.47
Sahre-853,2,16.79
Sahre-852,8,25.23
Sahre-851,0,33.49
Sahre-850,0,4.72
Sahre-849,8,1.19
Sahre-848,8,35.61
Sahre-847,7,9.35
Sahre-846,1,0.71
Sahre-845,1,8.88
Sahre-844,8,9.56
Sahre-843,5,13.02
Sahre-842,1,15.96
Sahre-841,2,4.23
Sahre-840,5,1.61
Sahre-839,2,35.71
Sahre-838,3,10.08
Sahre-837,9,33.17
Sahre-836,1,19.29
Sahre-835,4,38.74
Sahre-834,5,38.27
Sahre-833,7,14.14
Sahre-832,8,13.75
Sahre-831,2,5.4
Sahre-830,1,8.81
Sahre-829,2,29.08
Sahre-828,1,27.29
Sahre-827,4,30.03
Sahre-826,6,17.94
Sahre-825,7,25.56
Sahre-824,7,18.8
Sahre-823,7,9.34
Sahre-822,6,25.8
Sahre-821,2,13.74
Sahre-820,8,28.86
Sahre-819,7,24.46
Sahre-818,8,38.05
Sahre-817,9,29.4
Sahre-816,8,20.6
Sahre-815,0,8.85
Sahre-814,9,17.53
Sahre-813,7,36.37
Sahre-812,7,10.06
Sahre-811,9,6.42
Sahre-810,3,11.82
Sahre-809,6,32.2
Sahre-808,9,33.88
Sahre-807,6,3.26
Sahre-806,5,32.51
Sahre-805,3,8.05
Sahre-804,6,0.0
Sahre-803,9,18.21
Sahre-802,7,9.4
Sahre-801,6,37.22
Sahre-800,1,16.25
Sahre-799,8,16.97
Sahre-798,7,9.75
Sahre-797,4,38.12
Sahre-796,8,24.73
Sahre-795,7,19.19
Sahre-794,7,5.27
Sahre-793,1,15.97
Sahre-792,2,13.95
Sahre-791,7,32.72
Sahre-790,8,1.25
Sahre-789,8,22.28
Sahre-788,2,36.16
Sahre-787,3,9.74
Sahre-786,7,17.32
Sahre-785,5,4.3
Sahre-784,0,25.51
Sahre-783,7,39.52
Sahre-782,9,39.02
Sahre-781,5,32.19
Sahre-780,6,7.59
Sahre-779,1,25.25
Sahre-778,4,22.63
Sahre-777,4,7.42
Sahre-776,4,8.07
Sahre-775,3,34.49
Sahre-774,5,11.38
Sahre-773,1,30.53
Sahre-772,7,4.01
Sahre-771,9,36.67
Sahre-770,2,18.9
Sahre-769,6,26.73
Sahre-768,5,18.65
Sahre-767,2,24.56
Sahre-766,9,32.39
Sahre-765,8,38.76
Sahre-764,6,17.58
Sahre-763,4,27.91
Sahre-762,2,30.4
Sahre-761,7,5.86
Sahre-760,2,11.81
Sahre-759,6,5.19
Sahre-758,6,33.11
Sahre-757,7,24.26
Sahre-756,6,29.07
Sahre-755,5,15.48
Sahre-754,0,7.33
Sahre-753,7,28.54
Sahre-752,5,5.79
Sahre-751,5,24.97
Sahre-750,4,33.65
Sahre-749,7,18.69
Sahre-748,2,14.16
Sahre-747,4,22.0
Sahre-746,0,23.34
Sahre-745,6,11.43
Sahre-744,0,18.51
Sahre-743,3,23.61
Sahre-742,4,26.22
Sahre-741,3,11.69
Sahre-740,6,20.07
Sahre-739,4,31.47
Sahre-738,3,38.68
Sahre-737,9,34.42
Sahre-736,9,19.21
Sahre-735,1,13.44
Sahre-734,0,3.23
Sahre-733,4,39.14
Sahre-732,3,6.81
Sahre-731,5,0.37
Sahre-730,8,15.87
Sahre-729,1,18.36
Sahre-728,6,15.32
Sahre-727,5,18.58
Sahre-726,5,4.45
Sahre-725,8,0.82
Sahre-724,5,35.15
Sahre-723,6,22.46
Sahre-722,4,32.27
Sahre-721,5,17.91
Sahre-720,7,31.39
Sahre-719,0,3.69
Sahre-718,8,15.79
Sahre-717,0,29.38
Sahre-716,6,30.6
Sahre-715,5,13.01
Sahre-714,0,39.95
Sahre-713,4,6.57
Sahre-712,2,11.56
Sahre-711,0,14.86
Sahre-710,4,25.6
Sahre-709,8,11.65
Sahre-708,5,12.4
Sahre-707,7,32.56
Sahre-706,5,19.39
Sahre-705,7,3.21
Sahre-704,3,16.53
Sahre-703,4,14.84
Sahre-702,0,21.01
Sahre-701,2,33.89
Sahre-700,5,6.37
Sahre-699,4,27.06
Sahre-698,9,17.58
Sahre-697,8,6.96
Sahre-696,0,9.51
Sahre-695,2,14.17
Sahre-694,7,38.54
Sahre-693,9,6.55
Sahre-692,5,19.71
Sahre-691,2,22.72
Sahre-690,1,12.25
Sahre-689,3,4.62
Sahre-688,3,33.04
Sahre-687,9,34.97
Sahre-686,2,1.42
Sahre-685,0,12.6
Sahre-684,7,22.13
Sahre-683,7,33.06
Sahre-682,9,5.71
Sahre-681,6,25.8
Sahre-680,7,26.68
Sahre-679,1,12.34
Sahre-678,6,36.59
Sahre-677,1,39.98
Sahre-676,2,20.67
Sahre-675,1,39.04
Sahre-674,1,27.34
Sahre-673,6,3.14
Sahre-672,9,21.03
Sahre-671,2,17.07
Sahre-670,9,6.23
Sahre-669,6,12.75
Sahre-668,2,13.4
Sahre-667,1,34.59
Sahre-666,9,9.49
Sahre-665,7,1.1
Sahre-664,9,5.17
Sahre-663,0,6.23
Sahre-662,3,11.89
Sahre-661,9,24.47
Sahre-660,0,30.66
Sahre-659,0,21.01
Sahre-658,4,38.01
Sahre-657,2,20.38
Sahre-656,2,35.93
Sahre-655,1,11.63
Sahre-654,3,0.98
Sahre-653,6,24.93
Sahre-652,1,19.93
Sahre-651,2,18.88
Sahre-650,8,16.54
Sahre-649,5,24.4
Sahre-648,2,21.69
Sahre-647,3,23.34
Sahre-646,0,28.29
Sahre-645,0,24.94
Sahre-644,4,33.68
Sahre-643,8,31.36
Sahre-642,6,23.06
Sahre-641,1,30.39
Sahre-640,6,13.15
Sahre-639,9,29.76
Sahre-638,8,1.66
Sahre-637,5,30.86
Sahre-636,0,1.79
Sahre-635,9,38.1
Sahre-634,2,35.12
Sahre-633,8,18.23
Sahre-632,4,16.45
Sahre-631,9,14.51
Sahre-630,9,27.33
Sahre-629,2,13.82
Sahre-628,9,32.53
Sahre-627,3,2.81
Sahre-626,6,39.19
Sahre-625,2,39.31
Sahre-624,2,16.57
Sahre-623,6,24.62
Sahre-622,4,28.83
Sahre-621,5,37.38
Sahre-620,9,32.94
Sahre-619,1,13.02
Sahre-618,2,10.3
Sahre-617,1,11.66
Sahre-616,7,29.65
Sahre-615,4,8.13
Sahre-614,0,3.06
Sahre-613,1,9.84
Sahre-612,7,7.95
Sahre-611,8,1.28
Sahre-610,8,6.37
Sahre-609,3,2.33
Sahre-608,8,5.34
Sahre-607,2,35.12
Sahre-606,0,36.72
Sahre-605,6,2.59
Sahre-604,9,9.33
Sahre-603,5,11.97
Sahre-602,7,13.22
Sahre-601,2,8.52
Sahre-600,5,31.39
Sahre-599,9,1.75
Sahre-598,9,2.45
Sahre-597,8,12.78
Sahre-596,1,38.89
Sahre-595,9,3.98
Sahre-594,1,24.11
Sahre-593,2,12.54
Sahre-592,1,24.04
Sahre-591,0,23.87
Sahre-590,2,36.43
Sahre-589,9,10.33
Sahre-588,1,34.07
Sahre-587,6,19.6
Sahre-586,3,9.19
Sahre-585,1,34.27
Sahre-584,5,29.35
Sahre-583,6,11.37
Sahre-582,1,20.84
Sahre-581,7,24.64
Sahre-580,4,39.9
Sahre-579,9,15.95
Sahre-578,1,34.81
Sahre-577,4,23.28
Sahre-576,5,16.44
Sahre-575,9,26.3
Sahre-574,3,26.25
Sahre-573,0,10.45
Sahre-572,6,10.47
Sahre-571,2,18.91
Sahre-570,1,24.23
Sahre-569,0,23.16
Sahre-568,7,20.46
Sahre-567,1,22.81
Sahre-566,6,4.44
Sahre-565,4,22.63
Sahre-564,1,14.41
Sahre-563,2,11.87
Sahre-562,4,30.95
Sahre-561,5,11.73
Sahre-560,9,21.69
Sahre-559,2,8.61
Sahre-558,4,10.84
Sahre-557,7,6.32
Sahre-556,5,23.12
Sahre-555,5,15.61
Sahre-554,3,17.09
Sahre-553,9,34.84
Sahre-552,0,5.87
Sahre-551,4,38.04
Sahre-550,8,9.17
Sahre-549,8,15.5
Sahre-548,8,34.41
Sahre-547,7,3.66
Sahre-546,9,10.41
Sahre-545,9,24.37
Sahre-544,8,22.7
Sahre-543,2,16.18
Sahre-542,6,26.64
Sahre-541,5,19.34
Sahre-540,8,16.51
Sahre-539,6,38.3
Sahre-538,3,17.43
Sahre-537,8,29.22
Sahre-536,5,23.72
Sahre-535,0,25.62
Sahre-534,7,36.76
Sahre-533,3,16.76
Sahre-532,4,9.91
Sahre-531,4,36.74
Sahre-530,8,29.36
Sahre-529,3,17.65
Sahre-528,2,34.97
Sahre-527,3,23.48
Sahre-526,2,23.15
Sahre-525,6,9.01
Sahre-524,4,35.95
Sahre-523,1,33.6
Sahre-522,4,11.16
Sahre-521,7,32.1
Sahre-520,6,4.94
Sahre-519,2,15.05
Sahre-518,4,1.2
Sahre-517,0,20.93
Sahre-516,2,28.34
Sahre-515,6,6.56
Sahre-514,4,12.91
Sahre-513,3,36.08
Sahre-512,8,27.61
Sahre-511,6,22.12
Sahre-510,5,2.02
Sahre-509,5,35.32
Sahre-508,6,12.81
Sahre-507,9,6.05
Sahre-506,7,39.6
Sahre-505,3,29.24
Sahre-504,0,34.08
Sahre-503,9,20.13
Sahre-502,8,11.48
Sahre-501,9,24.69
Sahre-500,9,19.7
Sahre-499,9,10.32
Sahre-498,0,2.91
Sahre-497,5,15.55
Sahre-496,3,28.36
Sahre-495,5,3.85
Sahre-494,2,20.92
Sahre-493,4,0.62
Sahre-492,8,10.5
Sahre-491,1,17.7
Sahre-490,8,1.05
Sahre-489,0,31.68
Sahre-488,9,19.51
Sahre-487,1,2.94
Sahre-486,7,6.57
Sahre-485,5,7.79
Sahre-484,3,12.6
Sahre-483,8,1.37
Sahre-482,9,23.17
Sahre-481,8,1.56
Sahre-480,5,39.49
Sahre-479,4,3.24
Sahre-478,9,35.54
Sahre-477,3,5.0
Sahre-476,0,5.72
Sahre-475,1,19.83
Sahre-474,0,15.13
Sahre-473,6,1.34
Sahre-472,2,23.97
Sahre-471,1,30.28
Sahre-470,1,35.92
Sahre-469,1,17.35
Sahre-468,7,34.05
Sahre-467,6,24.0
Sahre-466,1,22.22
Sahre-465,6,33.17
Sahre-464,0,15.5
Sahre-463,7,31.01
Sahre-462,9,29.46
Sahre-461,5,14.25
Sahre-460,6,32.4
Sahre-459,6,3.32
Sahre-458,8,16.15
Sahre-457,5,20.95
Sahre-456,5,1.55
Sahre-455,0,28.14
Sahre-454,1,33.52
Sahre-453,1,37.82
Sahre-452,1,11.64
Sahre-451,9,16.03
Sahre-450,5,13.2
Sahre-449,1,35.31
Sahre-448,3,37.93
Sahre-447,0,18.22
Sahre-446,4,23.95
Sahre-445,2,12.13
Sahre-444,1,20.33
Sahre-443,5,14.73
Sahre-442,9,39.17
Sahre-441,9,26.7
Sahre-440,2,21.2
Sahre-439,9,20.85
Sahre-438,3,7.67
Sahre-437,4,19.1
Sahre-436,6,38.77
Sahre-435,4,9.53
Sahre-434,7,39.88
Sahre-433,7,18.71
Sahre-432,2,16.53
Sahre-431,3,8.51
Sahre-430,6,12.06
Sahre-429,7,22.79
Sahre-428,7,14.95
Sahre-427,9,25.98
Sahre-426,4,28.11
Sahre-425,6,0.35
Sahre-424,1,15.92
Sahre-423,9,34.88
Sahre-422,7,33.06
Sahre-421,3,33.58
Sahre-420,5,32.98
Sahre-419,6,9.35
Sahre-418,3,23.22
Sahre-417,9,6.39
Sahre-416,4,15.71
Sahre-415,3,35.6
Sahre-414,1,31.47
Sahre-413,7,39.5
Sahre-412,3,2.15
Sahre-411,9,33.49
Sahre-410,6,30.34
Sahre-409,3,23.56
Sahre-408,3,35.78
Sahre-407,9,10.87
Sahre-406,6,38.75
Sahre-405,6,30.68
Sahre-404,4,36.2
Sahre-403,4,16.98
Sahre-402,3,20.19
Sahre-401,2,10.1
Sahre-400,4,39.91
Sahre-399,8,25.07
Sahre-398,4,7.85
Sahre-397,5,12.42
Sahre-396,4,4.2
Sahre-395,2,31.36
Sahre-394,6,20.44
Sahre-393,7,22.1
Sahre-392,8,4.58
Sahre-391,6,6.34
Sahre-390,1,17.4
Sahre-389,9,31.26
Sahre-388,2,2.81
Sahre-387,7,11.56
Sahre-386,8,14.81
Sahre-385,4,31.99
Sahre-384,9,4.82
Sahre-383,2,16.75
Sahre-382,9,25.16
Sahre-381,0,21.42
Sahre-380,3,38.27
Sahre-379,1,22.89
Sahre-378,6,7.52
Sahre-377,5,23.65
Sahre-376,5,12.43
Sahre-375,4,14.41
Sahre-374,7,39.3
Sahre-373,4,32.21
Sahre-372,2,29.32
Sahre-371,9,38.28
Sahre-370,7,1.83
Sahre-369,1,7.27
Sahre-368,5,32.96
Sahre-367,7,27.66
Sahre-366,5,0.3
Sahre-365,2,1.87
Sahre-364,5,2.41
Sahre-363,2,15.85
Sahre-362,3,19.82
Sahre-361,5,27.83
Sahre-360,6,4.93
Sahre-359,8,17.26
Sahre-358,0,20.97
Sahre-357,0,18.45
Sahre-356,4,29.72
Sahre-355,8,39.49
Sahre-354,3,26.9
Sahre-353,9,34.32
Sahre-352,1,9.62
Sahre-351,0,13.38
Sahre-350,4,10.06
Sahre-349,2,32.22
Sahre-348,7,35.1
Sahre-347,9,20.99
Sahre-346,8,37.32
Sahre-345,1,34.82
Sahre-344,0,3.43
Sahre-343,1,32.33
Sahre-342,4,3.97
Sahre-341,5,33.9
Sahre-340,6,29.46
Sahre-339,6,17.69
Sahre-338,0,3.26
Sahre-337,7,30.44
Sahre-336,2,26.56
Sahre-335,7,6.47
Sahre-334,1,30.95
Sahre-333,2,1.17
Sahre-332,5,35.04
Sahre-331,6,21.64
Sahre-330,4,7.6
Sahre-329,3,18.86
Sahre-328,9,24.94
Sahre-327,2,32.14
Sahre-326,4,9.71
Sahre-325,2,10.15
Sahre-324,5,21.97
Sahre-323,6,8.41
Sahre-322,0,12.44
Sahre-321,6,0.59
Sahre-320,5,31.47
Sahre-319,0,33.33
Sahre-318,2,12.33
Sahre-317,5,6.63
Sahre-316,5,23.55
Sahre-315,0,30.27
Sahre-314,7,20.29
Sahre-313,7,25.42
Sahre-312,6,10.85
Sahre-311,8,37.48
Sahre-310,7,27.8
Sahre-309,2,21.33
Sahre-308,8,10.79
Sahre-307,2,26.28
Sahre-306,2,25.57
Sahre-305,5,31.14
Sahre-304,0,21.7
Sahre-303,8,18.99
Sahre-302,7,4.53
Sahre-301,6,25.05
Sahre-300,5,1.82
Sahre-299,2,27.4
Sahre-298,8,15.14
Sahre-297,7,30.0
Sahre-296,5,28.86
Sahre-295,3,17.63
Sahre-294,5,21.18
Sahre-293,9,34.16
Sahre-292,3,37.18
Sahre-291,0,24.14
Sahre-290,6,15.63
Sahre-289,3,15.37
Sahre-288,2,0.25
Sahre-287,9,2.54
Sahre-286,7,36.82
Sahre-285,7,0.16
Sahre-284,8,6.15
Sahre-283,6,37.91
Sahre-282,1,10.16
Sahre-281,0,28.45
Sahre-280,9,35.99
Sahre-279,2,25.99
Sahre-278,0,0.62
Sahre-277,2,18.67
Sahre-276,8,8.21
Sahre-275,7,29.93
Sahre-274,3,9.0
Sahre-273,8,17.55
Sahre-272,8,8.61
Sahre-271,6,8.13
Sahre-270,4,0.45
Sahre-269,1,14.57
Sahre-268,4,39.22
Sahre-267,6,28.99
Sahre-266,4,15.58
Sahre-265,8,9.6
Sahre-264,9,24.96
Sahre-263,2,21.15
Sahre-262,1,12.43
Sahre-261,9,19.1
Sahre-260,2,9.22
Sahre-259,2,39.42
Sahre-258,8,3.0
Sahre-257,5,39.78
Sahre-256,4,34.43
Sahre-255,6,37.69
Sahre-254,0,13.63
Sahre-253,2,15.38
Sahre-252,4,38.04
Sahre-251,9,10.32
Sahre-250,3,16.15
Sahre-249,4,3.55
Sahre-248,3,4.73
Sahre-247,3,38.97
Sahre-246,2,7.48
Sahre-245,6,25.32
Sahre-244,7,22.51
Sahre-243,2,13.29
Sahre-242,2,14.22
Sahre-241,4,37.15
Sahre-240,0,30.36
Sahre-239,6,24.67
Sahre-238,3,29.39
Sahre-237,0,33.7
Sahre-236,4,34.58
Sahre-235,0,13.48
Sahre-234,9,20.15
Sahre-233,4,3.51
Sahre-232,1,33.62
Sahre-231,3,11.1
Sahre-230,6,39.95
Sahre-229,9,17.23
Sahre-228,3,7.14
Sahre-227,9,18.58
Sahre-226,9,33.0
Sahre-225,9,21.62
Sahre-224,5,30.15
Sahre-223,2,34.82
Sahre-222,5,20.63
Sahre-221,5,10.95
Sahre-220,1,6.35
Sahre-219,9,12.48
Sahre-218,6,6.94
Sahre-217,2,24.7
Sahre-216,6,22.03
Sahre-215,9,17.88
Sahre-214,9,39.21
Sahre-213,0,33.01
Sahre-212,5,11.65
Sahre-211,8,28.4
Sahre-210,5,15.17
Sahre-209,2,16.57
Sahre-208,8,23.06
Sahre-207,0,21.97
Sahre-206,1,6.08
Sahre-205,0,38.42
Sahre-204,9,13.93
Sahre-203,0,18.23
Sahre-202,2,28.03
Sahre-201,8,37.07
Sahre-200,4,22.14
Sahre-199,7,15.54
Sahre-198,5,31.65
Sahre-197,6,28.04
Sahre-196,3,37.12
Sahre-195,9,36.29
Sahre-194,3,21.43
Sahre-193,0,36.39
Sahre-192,1,7.7
Sahre-191,7,37.86
Sahre-190,7,38.09
Sahre-189,3,15.23
Sahre-188,4,31.39
Sahre-187,9,16.44
Sahre-186,4,16.08
Sahre-185,4,16.96
Sahre-184,7,16.35
Sahre-183,9,39.56
Sahre-182,7,33.7
Sahre-181,6,13.15
Sahre-180,5,25.21
Sahre-179,2,39.97
Sahre-178,0,33.47
Sahre-177,5,35.47
Sahre-176,9,4.8
Sahre-175,2,24.85
Sahre-174,1,11.84
Sahre-173,1,25.4
Sahre-172,3,36.41
Sahre-171,1,22.32
Sahre-170,0,11.58
Sahre-169,7,22.08
Sahre-168,4,39.73
Sahre-167,1,12.1
Sahre-166,1,27.99
Sahre-165,3,17.6
Sahre-164,6,20.65
Sahre-163,0,7.19
Sahre-162,4,12.18
Sahre-161,3,30.7
Sahre-160,0,3.29
Sahre-159,9,24.53
Sahre-158,6,26.31
Sahre-157,1,35.44
Sahre-156,8,20.73
Sahre-155,7,20.04
Sahre-154,8,25.71
Sahre-153,2,22.64
Sahre-152,5,2.81
Sahre-151,0,33.61
Sahre-150,9,0.6
Sahre-149,6,20.12
Sahre-148,5,36.73
Sahre-147,1,31.39
Sahre-146,5,10.62
Sahre-145,7,21.13
Sahre-144,0,20.53
Sahre-143,3,10.85
Sahre-142,3,14.05
Sahre-141,7,13.5
Sahre-140,6,17.61
Sahre-139,2,29.87
Sahre-138,6,29.57
Sahre-137,1,2.01
Sahre-136,7,39.43
Sahre-135,1,23.07
Sahre-134,6,5.75
Sahre-133,6,26.41
Sahre-132,6,7.05
Sahre-131,4,31.45
Sahre-130,4,4.29
Sahre-129,3,23.58
Sahre-128,0,34.65
Sahre-127,0,28.8
Sahre-126,2,16.62
Sahre-125,1,1.78
Sahre-124,7,19.54
Sahre-123,0,11.42
Sahre-122,7,23.97
Sahre-121,3,21.53
Sahre-120,1,26.71
Sahre-119,4,32.99
Sahre-118,8,5.52
Sahre-117,7,37.44
Sahre-116,7,27.54
Sahre-115,8,33.39
Sahre-114,3,25.37
Sahre-113,5,1.17
Sahre-112,7,22.18
Sahre-111,9,16.14
Sahre-110,9,32.75
Sahre-109,6,28.29
Sahre-108,1,2.93
Sahre-107,2,21.75
Sahre-106,1,23.48
Sahre-105,3,8.56
Sahre-104,4,7.84
Sahre-103,1,35.86
Sahre-102,9,23.88
Sahre-101,6,33.34
Sahre-100,5,7.96
Sahre-99,3,12.79
Sahre-98,0,4.51
Sahre-97,5,33.45
Sahre-96,8,24.41
Sahre-95,8,30.09
Sahre-94,5,13.53
Sahre-93,8,39.77
Sahre-92,9,5.88
Sahre-91,3,26.15
Sahre-90,0,4.75
Sahre-89,3,17.02
Sahre-88,2,38.75
Sahre-87,7,35.08
Sahre-86,4,3.9
Sahre-85,8,31.27
Sahre-84,6,21.24
Sahre-83,3,34.75
Sahre-82,8,20.56
Sahre-81,7,7.17
Sahre-80,5,11.67
Sahre-79,7,12.75
Sahre-78,8,17.82
Sahre-77,5,4.43
Sahre-76,9,23.89
Sahre-75,3,35.36
Sahre-74,9,23.61
Sahre-73,7,25.18
Sahre-72,1,4.87
Sahre-71,4,32.93
Sahre-70,7,23.97
Sahre-69,1,31.75
Sahre-68,9,31.28
Sahre-67,1,10.72
Sahre-66,7,12.54
Sahre-65,4,28.3
Sahre-64,4,39.89
Sahre-63,4,4.92
Sahre-62,4,25.47
Sahre-61,7,10.44
Sahre-60,4,10.85
Sahre-59,7,32.19
Sahre-58,6,32.58
Sahre-57,0,24.26
Sahre-56,7,38.29
Sahre-55,0,26.84
Sahre-54,2,38.5
Sahre-53,5,31.98
Sahre-52,6,18.07
Sahre-51,4,16.15
Sahre-50,3,28.75
Sahre-49,1,32.65
Sahre-48,7,31.64
Sahre-47,1,2.33
Sahre-46,7,3.26
Sahre-45,7,27.89
Sahre-44,7,15.1
Sahre-43,7,39.97
Sahre-42,5,19.97
Sahre-41,3,7.61
Sahre-40,2,5.6
Sahre-39,4,13.16
Sahre-38,1,13.98
Sahre-37,2,18.35
Sahre-36,4,32.97
Sahre-35,7,11.2
Sahre-34,1,18.45
Sahre-33,1,32.5
Sahre-32,8,20.48
Sahre-31,9,17.02
Sahre-30,2,10.72
Sahre-29,7,18.97
Sahre-28,8,19.68
Sahre-27,1,13.65
Sahre-26,4,10.73
Sahre-25,2,1.98
Sahre-24,0,33.02
Sahre-23,0,30.76
Sahre-22,0,14.37
Sahre-21,6,31.97
Sahre-20,8,9.56
Sahre-19,1,8.53
Sahre-18,8,37.09
Sahre-17,6,20.1
Sahre-16,3,20.67
Sahre-15,0,39.17
Sahre-14,2,15.52
Sahre-13,4,25.99
Sahre-12,5,3.05
Sahre-11,0,21.26
Sahre-10,4,12.84
Sahre-9,8,16.48
Sahre-8,9,17.87
Sahre-7,5,7.71
Sahre-6,9,22.02
Sahre-5,0,32.49
Sahre-4,5,28.26
Sahre-3,5,31.64
Sahre-2,0,1.88
Sahre-1,3,30.98
Sahre0,2,35.35
Sahre1,5,0.93
Sahre2,7,15.06
Sahre3,4,13.86
Sahre4,6,1.073
Sahre5,3,51.21
Sahre6,9,1.521
Sahre7,7,32.87
Sahre8,8,50.99
Sahre9,5,60.63
Sahre10,7,12.05
Sahre11,0,29.54
Sahre12,6,37.28
Sahre13,9,58.32
Sahre14,3,40.68
Sahre15,4,49.92
Sahre16,1,35.96
Sahre17,4,30.86
Sahre18,4,59.94
Sahre19,8,69.73
Sahre20,2,41.28
Sahre21,4,77.48
Sahre22,9,59.60
Sahre23,5,31.78
Sahre24,6,55.26
Sahre25,3,25.92
Sahre26,2,54.21
Sahre27,9,32.50
Sahre28,2,10.61
Sahre29,7,63.93
Sahre30,0,1.399
Sahre31,9,63.91
Sahre32,5,16.31
Sahre33,7,47.32
Sahre34,2,59.24
Sahre35,2,55.60
Sahre36,8,72.79
Sahre37,1,7.031
Sahre38,2,3.957
Sahre39,2,44.70
Sahre40,2,8.657
Sahre41,8,3.947
Sahre42,5,68.40
Sahre43,0,48.60
Sahre44,8,6.127
Sahre45,8,54.10
Sahre46,6,26.74
Sahre47,4,35.55
Sahre48,4,45.08
Sahre49,8,11.02
Sahre50,9,46.58
Sahre51,2,33.62
Sahre52,0,4.776
Sahre53,0,14.84
Sahre54,3,31.33
Sahre55,9,37.10
Sahre56,4,4.816
Sahre57,5,7.022
Sahre58,1,4.098
Sahre59,4,76.18
Sahre60,5,46.46
Sahre61,6,75.94
Sahre62,1,19.93
Sahre63,6,20.81
Sahre64,3,18.47
Sahre65,3,6.720
Sahre66,4,33.15
Sahre67,9,79.20
Sahre68,5,13.20
Sahre69,9,16.67
Sahre70,2,52.98
Sahre71,7,56.27
Sahre72,3,61.37
Sahre73,7,1.427
Sahre74,3,3.712
Sahre75,8,57.43
Sahre76,1,20.96
Sahre77,6,3.555
Sahre78,5,72.74
Sahre79,5,21.74
Sahre80,3,17.03
Sahre81,1,33.66
Sahre82,8,23.23
Sahre83,2,15.03
Sahre84,4,40.21
Sahre85,3,42.83
Sahre86,8,23.28
Sahre87,2,14.45
Sahre88,6,29.43
Sahre89,7,48.98
Sahre90,1,30.10
Sahre91,6,49.46
Sahre92,0,78.08
Sahre93,5,49.38
Sahre94,4,70.93
Sahre95,2,53.88
Sahre96,2,70.49
Sahre97,6,8.158
Sahre98,2,49.39
Sahre99,3,45.29
Sahre100,9,21.97
Sahre101,4,15.25
Sahre102,1,74.99
Sahre103,3,62.38
Sahre104,9,3.310
Sahre105,8,49.96
Sahre106,4,54.99
Sahre107,9,74.50
Sahre108,1,6.009
Sahre109,6,22.34
Sahre110,6,25.57
Sahre111,4,36.84
Sahre112,3,70.98
Sahre113,5,16.54
Sahre114,8,71.25
Sahre115,0,41.76
Sahre116,6,50.28
Sahre117,8,1.887
Sahre118,5,20.24
Sahre119,7,23.56
Sahre120,7,60.92
Sahre121,5,10.98
Sahre122,2,11.92
Sahre123,9,53.26
Sahre124,8,21.43
Sahre125,6,53.37
Sahre126,7,39.18
Sahre127,9,76.11
Sahre128,6,62.93
Sahre129,6,61.63
Sahre130,6,3.997
Sahre131,6,38.68
Sahre132,8,44.84
Sahre133,9,32.21
Sahre134,6,76.32
Sahre135,2,62.37
Sahre136,8,19.03
Sahre137,3,74.42
Sahre138,2,79.07
Sahre139,6,61.75
Sahre140,7,9.724
Sahre141,2,69.05
Sahre142,5,25.58
Sahre143,2,12.41
Sahre144,9,7.246
Sahre145,1,64.35
Sahre146,0,22.45
Sahre147,3,8.755
Sahre148,0,49.55
Sahre149,6,4.035
Sahre150,7,48.22
Sahre151,0,6.041
Sahre152,8,37.88
Sahre153,4,0.991
Sahre154,4,53.01
Sahre155,7,3.275
Sahre156,7,17.17
Sahre157,9,14.65
Sahre158,5,13.43
Sahre159,1,0.385
Sahre160,4,57.22
Sahre161,3,62.04
Sahre162,1,3.430
Sahre163,4,10.06
Sahre164,6,3.833
Sahre165,4,27.60
Sahre166,1,47.78
Sahre167,4,58.48
Sahre168,6,52.32
Sahre169,7,18.23
Sahre170,1,14.67
Sahre171,2,3.339
Sahre172,8,8.285
Sahre173,5,50.74
Sahre174,5,8.816
Sahre175,8,44.17
Sahre176,4,24.53
Sahre177,2,6.434
Sahre178,4,69.98
Sahre179,1,67.14
Sahre180,4,51.41
Sahre181,0,15.54
Sahre182,0,52.47
Sahre183,3,74.95
Sahre184,9,78.80
Sahre185,8,18.47
Sahre186,4,48.01
Sahre187,4,21.84
Sahre188,5,11.81
Sahre189,1,14.13
Sahre190,6,4.963
Sahre191,3,4.061
Sahre192,9,41.19
Sahre193,4,45.72
Sahre194,0,35.45
Sahre195,6,27.35
Sahre196,7,23.62
Sahre197,0,60.12
Sahre198,3,62.45
Sahre199,7,2.398
Sahre200,1,60.30
Sahre201,2,72.82
Sahre202,2,19.56
Sahre203,1,79.38
Sahre204,9,1.764
Sahre205,3,72.00
Sahre206,3,19.13
Sahre207,6,39.67
Sahre208,9,2.090
Sahre209,2,14.55
Sahre210,0,37.02
Sahre211,4,5.026
Sahre212,6,24.95
Sahre213,1,2.950
Sahre214,3,28.57
Sahre215,6,15.89
Sahre216,0,4.612
Sahre217,1,12.76
Sahre218,5,15.81
Sahre219,6,16.80
Sahre220,7,68.70
Sahre221,0,43.38
